"sigma","dist","dist_over_sigma","mean","sd","lower","upper"
1,0.0841683366733467,0.0841683366733467,0.48473,0.0114117589006266,0.483138762774998,0.486321237225002
1,0.50501002004008,0.50501002004008,0.41628,0.027072610349868,0.412505038949576,0.420054961050424
1,1.01002004008016,1.01002004008016,0.308825,0.0160556311447818,0.306586228731613,0.311063771268387
1,3.99799599198397,3.99799599198397,0.0227,0.00481308935567673,0.0220288705959609,0.0233711294040391
1,6.10220440881764,6.10220440881764,0.00097,0.000971503523142035,0.000834535118231446,0.00110546488176855
2,0.210420841683367,0.105210420841683,0.48209,0.0120410478850827,0.480411015735644,0.483768984264356
2,1.01002004008016,0.50501002004008,0.41611,0.0266540822483632,0.412393397831903,0.419826602168097
2,2.02004008016032,1.01002004008016,0.30883,0.0160276488493538,0.306595130537681,0.311064869462319
2,7.99599198396794,3.99799599198397,0.0227,0.00481308935567673,0.0220288705959609,0.0233711294040391
2,12.2044088176353,6.10220440881764,0.00097,0.000971503523142035,0.000834535118231446,0.00110546488176855
3,0.294589178356713,0.0981963927855711,0.483165,0.0117745904344694,0.481523170132086,0.484806829867914
3,1.51503006012024,0.50501002004008,0.41601,0.0267070445979292,0.412286012847442,0.419733987152558
3,2.98797595190381,0.995991983967936,0.31135,0.0157982729162298,0.309147114347231,0.313552885652769
3,11.9939879759519,3.99799599198397,0.0227,0.00481308935567673,0.0220288705959609,0.0233711294040391
3,18.3066132264529,6.10220440881764,0.00097,0.000971503523142035,0.000834535118231446,0.00110546488176855
