"rep","rep_seed","has_drop","drop_from_index","drop_to_index","drop_size","delta_before","delta_after"
1,3,FALSE,NA,NA,NA,NA,NA
2,4,FALSE,NA,NA,NA,NA,NA
3,5,FALSE,NA,NA,NA,NA,NA
4,6,FALSE,NA,NA,NA,NA,NA
5,7,TRUE,20,21,0.0725,0.477386934673367,0.50251256281407
6,8,FALSE,NA,NA,NA,NA,NA
7,9,FALSE,NA,NA,NA,NA,NA
8,10,FALSE,NA,NA,NA,NA,NA
9,11,FALSE,NA,NA,NA,NA,NA
10,12,FALSE,NA,NA,NA,NA,NA
11,13,FALSE,NA,NA,NA,NA,NA
12,14,FALSE,NA,NA,NA,NA,NA
13,15,FALSE,NA,NA,NA,NA,NA
14,16,TRUE,23,24,0.05625,0.552763819095477,0.577889447236181
15,17,FALSE,NA,NA,NA,NA,NA
16,18,FALSE,NA,NA,NA,NA,NA
17,19,FALSE,NA,NA,NA,NA,NA
18,20,FALSE,NA,NA,NA,NA,NA
19,21,TRUE,17,18,0.07875,0.402010050251256,0.42713567839196
20,22,TRUE,24,25,0.05625,0.577889447236181,0.603015075376884
21,23,FALSE,NA,NA,NA,NA,NA
22,24,FALSE,NA,NA,NA,NA,NA
23,25,FALSE,NA,NA,NA,NA,NA
24,26,FALSE,NA,NA,NA,NA,NA
25,27,FALSE,NA,NA,NA,NA,NA
26,28,FALSE,NA,NA,NA,NA,NA
27,29,FALSE,NA,NA,NA,NA,NA
28,30,FALSE,NA,NA,NA,NA,NA
29,31,FALSE,NA,NA,NA,NA,NA
30,32,FALSE,NA,NA,NA,NA,NA
31,33,TRUE,30,31,0.0725,0.728643216080402,0.753768844221106
32,34,FALSE,NA,NA,NA,NA,NA
33,35,FALSE,NA,NA,NA,NA,NA
34,36,FALSE,NA,NA,NA,NA,NA
35,37,FALSE,NA,NA,NA,NA,NA
36,38,FALSE,NA,NA,NA,NA,NA
37,39,TRUE,24,25,0.05375,0.577889447236181,0.603015075376884
38,40,FALSE,NA,NA,NA,NA,NA
39,41,FALSE,NA,NA,NA,NA,NA
40,42,FALSE,NA,NA,NA,NA,NA
41,43,FALSE,NA,NA,NA,NA,NA
42,44,FALSE,NA,NA,NA,NA,NA
43,45,FALSE,NA,NA,NA,NA,NA
44,46,FALSE,NA,NA,NA,NA,NA
45,47,FALSE,NA,NA,NA,NA,NA
46,48,FALSE,NA,NA,NA,NA,NA
47,49,FALSE,NA,NA,NA,NA,NA
48,50,FALSE,NA,NA,NA,NA,NA
49,51,TRUE,18,19,0.05375,0.42713567839196,0.452261306532663
50,52,FALSE,NA,NA,NA,NA,NA
51,53,TRUE,25,26,0.1125,0.603015075376884,0.628140703517588
52,54,FALSE,NA,NA,NA,NA,NA
53,55,FALSE,NA,NA,NA,NA,NA
54,56,FALSE,NA,NA,NA,NA,NA
55,57,FALSE,NA,NA,NA,NA,NA
56,58,TRUE,22,23,0.075,0.527638190954774,0.552763819095477
57,59,FALSE,NA,NA,NA,NA,NA
58,60,FALSE,NA,NA,NA,NA,NA
59,61,FALSE,NA,NA,NA,NA,NA
60,62,FALSE,NA,NA,NA,NA,NA
61,63,FALSE,NA,NA,NA,NA,NA
62,64,FALSE,NA,NA,NA,NA,NA
63,65,FALSE,NA,NA,NA,NA,NA
64,66,TRUE,28,29,0.0725,0.678391959798995,0.703517587939699
65,67,FALSE,NA,NA,NA,NA,NA
66,68,TRUE,17,18,0.0575,0.402010050251256,0.42713567839196
67,69,FALSE,NA,NA,NA,NA,NA
68,70,FALSE,NA,NA,NA,NA,NA
69,71,FALSE,NA,NA,NA,NA,NA
70,72,FALSE,NA,NA,NA,NA,NA
71,73,FALSE,NA,NA,NA,NA,NA
72,74,FALSE,NA,NA,NA,NA,NA
73,75,FALSE,NA,NA,NA,NA,NA
74,76,FALSE,NA,NA,NA,NA,NA
75,77,FALSE,NA,NA,NA,NA,NA
76,78,FALSE,NA,NA,NA,NA,NA
77,79,FALSE,NA,NA,NA,NA,NA
78,80,FALSE,NA,NA,NA,NA,NA
79,81,TRUE,22,23,0.06375,0.527638190954774,0.552763819095477
80,82,FALSE,NA,NA,NA,NA,NA
81,83,FALSE,NA,NA,NA,NA,NA
82,84,FALSE,NA,NA,NA,NA,NA
83,85,FALSE,NA,NA,NA,NA,NA
84,86,FALSE,NA,NA,NA,NA,NA
85,87,FALSE,NA,NA,NA,NA,NA
86,88,FALSE,NA,NA,NA,NA,NA
87,89,FALSE,NA,NA,NA,NA,NA
88,90,FALSE,NA,NA,NA,NA,NA
89,91,TRUE,19,20,0.0675,0.452261306532663,0.477386934673367
90,92,FALSE,NA,NA,NA,NA,NA
91,93,FALSE,NA,NA,NA,NA,NA
92,94,FALSE,NA,NA,NA,NA,NA
93,95,FALSE,NA,NA,NA,NA,NA
94,96,FALSE,NA,NA,NA,NA,NA
95,97,FALSE,NA,NA,NA,NA,NA
96,98,FALSE,NA,NA,NA,NA,NA
97,99,FALSE,NA,NA,NA,NA,NA
98,100,FALSE,NA,NA,NA,NA,NA
99,101,TRUE,34,35,0.185,0.829145728643216,0.85427135678392
100,102,FALSE,NA,NA,NA,NA,NA
101,103,FALSE,NA,NA,NA,NA,NA
102,104,FALSE,NA,NA,NA,NA,NA
103,105,FALSE,NA,NA,NA,NA,NA
104,106,FALSE,NA,NA,NA,NA,NA
105,107,FALSE,NA,NA,NA,NA,NA
106,108,FALSE,NA,NA,NA,NA,NA
107,109,FALSE,NA,NA,NA,NA,NA
108,110,FALSE,NA,NA,NA,NA,NA
109,111,FALSE,NA,NA,NA,NA,NA
110,112,TRUE,23,24,0.08625,0.552763819095477,0.577889447236181
111,113,FALSE,NA,NA,NA,NA,NA
112,114,FALSE,NA,NA,NA,NA,NA
113,115,FALSE,NA,NA,NA,NA,NA
114,116,FALSE,NA,NA,NA,NA,NA
115,117,FALSE,NA,NA,NA,NA,NA
116,118,FALSE,NA,NA,NA,NA,NA
117,119,FALSE,NA,NA,NA,NA,NA
118,120,FALSE,NA,NA,NA,NA,NA
119,121,FALSE,NA,NA,NA,NA,NA
120,122,FALSE,NA,NA,NA,NA,NA
121,123,FALSE,NA,NA,NA,NA,NA
122,124,TRUE,27,28,0.115,0.653266331658292,0.678391959798995
123,125,FALSE,NA,NA,NA,NA,NA
124,126,FALSE,NA,NA,NA,NA,NA
125,127,FALSE,NA,NA,NA,NA,NA
126,128,FALSE,NA,NA,NA,NA,NA
127,129,FALSE,NA,NA,NA,NA,NA
128,130,FALSE,NA,NA,NA,NA,NA
129,131,FALSE,NA,NA,NA,NA,NA
130,132,FALSE,NA,NA,NA,NA,NA
131,133,FALSE,NA,NA,NA,NA,NA
132,134,FALSE,NA,NA,NA,NA,NA
133,135,FALSE,NA,NA,NA,NA,NA
134,136,FALSE,NA,NA,NA,NA,NA
135,137,TRUE,12,13,0.06375,0.276381909547739,0.301507537688442
136,138,FALSE,NA,NA,NA,NA,NA
137,139,FALSE,NA,NA,NA,NA,NA
138,140,FALSE,NA,NA,NA,NA,NA
139,141,FALSE,NA,NA,NA,NA,NA
140,142,FALSE,NA,NA,NA,NA,NA
141,143,TRUE,24,25,0.09875,0.577889447236181,0.603015075376884
142,144,FALSE,NA,NA,NA,NA,NA
143,145,FALSE,NA,NA,NA,NA,NA
144,146,FALSE,NA,NA,NA,NA,NA
145,147,FALSE,NA,NA,NA,NA,NA
146,148,FALSE,NA,NA,NA,NA,NA
147,149,TRUE,39,40,0.0625,0.954773869346734,0.979899497487437
148,150,TRUE,17,18,0.0575,0.402010050251256,0.42713567839196
149,151,FALSE,NA,NA,NA,NA,NA
150,152,FALSE,NA,NA,NA,NA,NA
151,153,FALSE,NA,NA,NA,NA,NA
152,154,TRUE,21,22,0.055,0.50251256281407,0.527638190954774
153,155,FALSE,NA,NA,NA,NA,NA
154,156,FALSE,NA,NA,NA,NA,NA
155,157,TRUE,14,15,0.05,0.326633165829146,0.351758793969849
156,158,FALSE,NA,NA,NA,NA,NA
157,159,FALSE,NA,NA,NA,NA,NA
158,160,FALSE,NA,NA,NA,NA,NA
159,161,FALSE,NA,NA,NA,NA,NA
160,162,FALSE,NA,NA,NA,NA,NA
161,163,FALSE,NA,NA,NA,NA,NA
162,164,TRUE,21,22,0.075,0.50251256281407,0.527638190954774
163,165,FALSE,NA,NA,NA,NA,NA
164,166,FALSE,NA,NA,NA,NA,NA
165,167,FALSE,NA,NA,NA,NA,NA
166,168,FALSE,NA,NA,NA,NA,NA
167,169,FALSE,NA,NA,NA,NA,NA
168,170,FALSE,NA,NA,NA,NA,NA
169,171,FALSE,NA,NA,NA,NA,NA
170,172,FALSE,NA,NA,NA,NA,NA
171,173,FALSE,NA,NA,NA,NA,NA
172,174,FALSE,NA,NA,NA,NA,NA
173,175,FALSE,NA,NA,NA,NA,NA
174,176,TRUE,22,23,0.1025,0.527638190954774,0.552763819095477
175,177,FALSE,NA,NA,NA,NA,NA
176,178,FALSE,NA,NA,NA,NA,NA
177,179,FALSE,NA,NA,NA,NA,NA
178,180,FALSE,NA,NA,NA,NA,NA
179,181,FALSE,NA,NA,NA,NA,NA
180,182,FALSE,NA,NA,NA,NA,NA
181,183,FALSE,NA,NA,NA,NA,NA
182,184,FALSE,NA,NA,NA,NA,NA
183,185,FALSE,NA,NA,NA,NA,NA
184,186,FALSE,NA,NA,NA,NA,NA
185,187,FALSE,NA,NA,NA,NA,NA
186,188,FALSE,NA,NA,NA,NA,NA
187,189,FALSE,NA,NA,NA,NA,NA
188,190,TRUE,40,41,0.0675,0.979899497487437,1.00502512562814
189,191,FALSE,NA,NA,NA,NA,NA
190,192,TRUE,22,23,0.1125,0.527638190954774,0.552763819095477
191,193,FALSE,NA,NA,NA,NA,NA
192,194,TRUE,16,17,0.07375,0.376884422110553,0.402010050251256
193,195,FALSE,NA,NA,NA,NA,NA
194,196,FALSE,NA,NA,NA,NA,NA
195,197,FALSE,NA,NA,NA,NA,NA
196,198,FALSE,NA,NA,NA,NA,NA
197,199,TRUE,19,20,0.05125,0.452261306532663,0.477386934673367
198,200,FALSE,NA,NA,NA,NA,NA
199,201,FALSE,NA,NA,NA,NA,NA
200,202,FALSE,NA,NA,NA,NA,NA
201,203,FALSE,NA,NA,NA,NA,NA
202,204,FALSE,NA,NA,NA,NA,NA
203,205,FALSE,NA,NA,NA,NA,NA
204,206,FALSE,NA,NA,NA,NA,NA
205,207,TRUE,26,27,0.08375,0.628140703517588,0.653266331658292
206,208,FALSE,NA,NA,NA,NA,NA
207,209,FALSE,NA,NA,NA,NA,NA
208,210,FALSE,NA,NA,NA,NA,NA
209,211,FALSE,NA,NA,NA,NA,NA
210,212,FALSE,NA,NA,NA,NA,NA
211,213,FALSE,NA,NA,NA,NA,NA
212,214,FALSE,NA,NA,NA,NA,NA
213,215,FALSE,NA,NA,NA,NA,NA
214,216,FALSE,NA,NA,NA,NA,NA
215,217,FALSE,NA,NA,NA,NA,NA
216,218,FALSE,NA,NA,NA,NA,NA
217,219,FALSE,NA,NA,NA,NA,NA
218,220,FALSE,NA,NA,NA,NA,NA
219,221,FALSE,NA,NA,NA,NA,NA
220,222,FALSE,NA,NA,NA,NA,NA
221,223,FALSE,NA,NA,NA,NA,NA
222,224,FALSE,NA,NA,NA,NA,NA
223,225,FALSE,NA,NA,NA,NA,NA
224,226,FALSE,NA,NA,NA,NA,NA
225,227,FALSE,NA,NA,NA,NA,NA
226,228,FALSE,NA,NA,NA,NA,NA
227,229,FALSE,NA,NA,NA,NA,NA
228,230,FALSE,NA,NA,NA,NA,NA
229,231,FALSE,NA,NA,NA,NA,NA
230,232,FALSE,NA,NA,NA,NA,NA
231,233,FALSE,NA,NA,NA,NA,NA
232,234,FALSE,NA,NA,NA,NA,NA
233,235,FALSE,NA,NA,NA,NA,NA
234,236,FALSE,NA,NA,NA,NA,NA
235,237,FALSE,NA,NA,NA,NA,NA
236,238,FALSE,NA,NA,NA,NA,NA
237,239,FALSE,NA,NA,NA,NA,NA
238,240,FALSE,NA,NA,NA,NA,NA
239,241,FALSE,NA,NA,NA,NA,NA
240,242,FALSE,NA,NA,NA,NA,NA
241,243,FALSE,NA,NA,NA,NA,NA
242,244,FALSE,NA,NA,NA,NA,NA
