"d","scale_mode","k","mean","sd","lower","upper"
2,"identity",1,0,0,0,0
2,"identity",2,0.03086,0.0234070836420484,0.0242077804326043,0.0375122195673957
2,"identity",3,0.07762,0.0181559145613789,0.072460146173007,0.082779853826993
2,"identity",4,0.0424333333333333,0.0571767459034601,0.0261838819400916,0.0586827847265751
2,"identity",5,0.1026,0.0489159119296502,0.0886982516458873,0.116501748354113
2,"identity",6,0.103053333333333,0.020013301699069,0.0973656159223706,0.108741050744296
2,"identity",7,0.10544,0.0540230672156184,0.0900868141730868,0.120793185826913
2,"identity",8,0.118833333333333,0.0633993658630489,0.100815432914632,0.136851233752035
2,"identity",9,0.14562,0.07775952843889,0.123520986532837,0.167719013467163
4,"identity",1,0,0,0,0
4,"identity",2,0.058,0.0325801297205476,0.0487408295817774,0.0672591704182226
4,"identity",3,0.11642,0.0648141529433866,0.0980000215418702,0.13483997845813
4,"identity",4,0.148473333333333,0.0733198840480902,0.127636052841555,0.169310613825112
4,"identity",5,0.161426666666667,0.0768845776254509,0.139576311469396,0.183277021863937
4,"identity",6,0.19186,0.0885898109444568,0.166683054300624,0.217036945699376
4,"identity",7,0.199773333333333,0.103599950971368,0.170330553037759,0.229216113628908
4,"identity",8,0.180906666666667,0.0934163391827353,0.154358036819011,0.207455296514323
4,"identity",9,0.176993333333333,0.0914452983210948,0.151004867100609,0.202981799566057
8,"identity",1,0,0,0,0
8,"identity",2,0.0671666666666667,0.0372382931428184,0.0565836608514495,0.0777496724818839
8,"identity",3,0.1183,0.0566909611787018,0.102188607097982,0.134411392902018
8,"identity",4,0.178,0.077332981467649,0.156022209840785,0.199977790159215
8,"identity",5,0.219273333333333,0.0865405856839526,0.194678771009195,0.243867895657471
8,"identity",6,0.260213333333333,0.0749050422299722,0.2389255558708,0.281501110795866
8,"identity",7,0.29514,0.0849855820771837,0.27098736481119,0.31929263518881
8,"identity",8,0.31768,0.0858866510314427,0.293271283847805,0.342088716152195
8,"identity",9,0.33518,0.0815638589321289,0.311999807769392,0.358360192230608
16,"identity",1,0,0,0,0
16,"identity",2,0.103686666666667,0.0563748955079955,0.087665098634394,0.119708234698939
16,"identity",3,0.166626666666667,0.0722364045380829,0.146097307644626,0.187156025688707
16,"identity",4,0.24206,0.0782965665632977,0.219808361986599,0.264311638013401
16,"identity",5,0.31066,0.090641665470546,0.284899923696375,0.336420076303625
16,"identity",6,0.349106666666667,0.0768907532575142,0.327254556374183,0.37095877695915
16,"identity",7,0.397126666666667,0.0714874008530568,0.376810172136665,0.417443161196668
16,"identity",8,0.449833333333333,0.0746464455733473,0.428619048227455,0.471047618439212
16,"identity",9,0.464386666666667,0.06665065658098,0.445444759649626,0.483328573683707
32,"identity",1,0,0,0,0
32,"identity",2,0.112693333333333,0.0494827137181875,0.098630501693229,0.126756164973438
32,"identity",3,0.210033333333333,0.0750640618317768,0.188700363000005,0.231366303666661
32,"identity",4,0.3263,0.0669217653363759,0.307281044727179,0.345318955272821
32,"identity",5,0.401753333333333,0.0633116257105548,0.383760368390071,0.419746298276596
32,"identity",6,0.44904,0.0737713769318546,0.428074406650377,0.470005593349623
32,"identity",7,0.492506666666667,0.0549645212305566,0.476885922569114,0.508127410764219
32,"identity",8,0.532806666666667,0.0465219861220882,0.519585264499353,0.54602806883398
32,"identity",9,0.55644,0.0402341468899704,0.545005581970317,0.567874418029683
