"k","mean","sd","lower","upper","d"
1,0,0,0,0,2
2,0.036238,0.0238598592797293,0.0315036862754695,0.0409723137245305,2
3,0.082879,0.013633250314632,0.0801738673620486,0.0855841326379514,2
4,0.027044,0.0515345688040385,0.016818423498633,0.037269576501367,2
5,0.103718,0.0125597350869573,0.101225876073302,0.106210123926698,2
6,0.107485,0.0103079000300887,0.105439689002504,0.109530310997496,2
7,0.121203,0.0664615001411351,0.10801559647921,0.13439040352079,2
8,0.122303,0.0619465808563958,0.110011454417192,0.134594545582808,2
9,0.155937,0.0739907551623509,0.141255628934618,0.170618371065382,2
1,0,0,0,0,64
2,0.168158,0.0558904957135926,0.157068113097252,0.179247886902748,64
3,0.320972,0.0559294199519503,0.309874389683894,0.332069610316105,64
4,0.429341,0.0519507227567576,0.419032849525888,0.439649150474113,64
5,0.504731,0.0367201007211268,0.497444935368518,0.512017064631482,64
6,0.558735,0.0334192268345966,0.552103900360588,0.565366099639412,64
7,0.597626,0.0309148508655695,0.591491822885677,0.603760177114323,64
8,0.633903,0.0277974326806697,0.628387386286443,0.639418613713557,64
9,0.665117,0.0236455050718104,0.660425218800769,0.669808781199231,64
