"k","mean","sd","lower","upper","d"
1,0,0,0,0,2
2,0.013,0.0185741756210067,-0.0100628851649181,0.0360628851649181,2
3,0.062,0.0574020905542647,-0.00927410926286278,0.133274109262863,2
4,0.081,0.0610737259384099,0.00516695326611305,0.156833046733887,2
5,0.064,0.0263153947338815,0.0313251217604184,0.0966748782395816,2
6,0.118,0.0901110426085505,0.00611236255235748,0.229887637447643,2
7,0.073,0.0840832920383116,-0.0314031965744248,0.177403196574425,2
8,0.086,0.0774112394940166,-0.0101187491360498,0.18211874913605,2
9,0.145,0.0914467057908594,0.0314539176651582,0.258546082334842,2
1,0,0,0,0,4
2,0.028,0.0160468065358812,0.00807525803825544,0.0479247419617446,4
3,0.063,0.0439602092806665,0.00841619078269337,0.117583809217307,4
4,0.109,0.0822648162946955,0.0068547392880302,0.21114526071197,4
5,0.101,0.0818077013489561,-0.000577677540804331,0.202577677540804,4
6,0.186,0.0710105625945887,0.0978287409341043,0.274171259065896,4
7,0.15,0.102713192920871,0.0224647262095971,0.277535273790403,4
8,0.134,0.121006198188357,-0.0162490398499928,0.284249039849993,4
9,0.159,0.0869195029898354,0.051075182395757,0.266924817604243,4
1,0,0,0,0,8
2,0.047,0.0233452350598575,0.0180130620965706,0.0759869379034294,8
3,0.112,0.117770964163498,-0.0342319662355615,0.258231966235562,8
4,0.169,0.0780544681616626,0.0720825769847216,0.265917423015278,8
5,0.183,0.12407658925035,0.0289385661079246,0.337061433892075,8
6,0.247,0.0700535509449735,0.160017027845293,0.333982972154707,8
7,0.272,0.0710281634283191,0.183806886612523,0.360193113387477,8
8,0.327,0.0547265931700485,0.259047959516407,0.394952040483593,8
9,0.298,0.0610941895764237,0.222141544303519,0.373858455696481,8
1,0,0,0,0,16
2,0.106,0.117121731544577,-0.0394258374661876,0.251425837466188,16
3,0.154,0.0557225268630201,0.0848113445052458,0.223188655494754,16
4,0.164,0.105912699899493,0.0324920135822405,0.29550798641776,16
5,0.288,0.0762069550631699,0.19337656748533,0.38262343251467,16
6,0.355,0.0575543221661067,0.283536870225324,0.426463129774676,16
7,0.334,0.0889803349060903,0.223516321598994,0.444483678401006,16
8,0.374,0.0704804937553647,0.286486908328338,0.461513091671662,16
9,0.392,0.0675092586242805,0.308176184020804,0.475823815979196,16
1,0,0,0,0,32
2,0.103,0.0672309452558864,0.0195217557105577,0.186478244289442,32
3,0.188,0.0965401470891774,0.0681295749780726,0.307870425021927,32
4,0.226,0.0376497011940334,0.179251721484239,0.272748278515761,32
5,0.323,0.10974971526159,0.18672772974657,0.45927227025343,32
6,0.354,0.117601020403736,0.207979046812654,0.500020953187346,32
7,0.397,0.00836660026534074,0.386611493663164,0.407388506336836,32
8,0.388,0.0638944442029196,0.308664568947996,0.467335431052004,32
9,0.352,0.092168324276836,0.237557909970683,0.466442090029317,32
1,0,0,0,0,64
2,0.073,0.0279732014613987,0.0382666828308803,0.10773331716912,64
3,0.198,0.0825075754097768,0.095553314034598,0.300446685965402,64
4,0.263,0.0566347949585765,0.192678614054284,0.333321385945716,64
5,0.342,0.0803585714158732,0.242221654925824,0.441778345074176,64
6,0.407,0.0936482781475452,0.290720304530421,0.523279695469579,64
7,0.476,0.0309030742807249,0.437628765231807,0.514371234768193,64
8,0.478,0.0630079360080935,0.399765314257624,0.556234685742376,64
9,0.503,0.0376828873628336,0.456210515413202,0.549789484586798,64
